iter	Logloss
819	0.4443038017
820	0.4441847386
821	0.4441644336
822	0.4441140413
823	0.4440424518
824	0.4439417172
825	0.4438728203
826	0.4437571656
827	0.4437121342
828	0.4436106488
829	0.4435533495
830	0.4434686214
831	0.4433904101
832	0.4433048235
833	0.4432201028
834	0.4431410046
835	0.4430487806
836	0.4429662223
837	0.4428746791
838	0.4427913711
839	0.4427317226
840	0.4426555343
841	0.4425797865
842	0.4424688785
843	0.4424146138
844	0.4423390366
845	0.44218423
846	0.4421202077
847	0.4420437631
848	0.4420013842
849	0.4419423529
850	0.4419030285
851	0.4417967625
852	0.4417295403
853	0.4416737216
854	0.4416525551
855	0.4415520602
856	0.4414785463
857	0.4413981053
858	0.4413202171
859	0.4412377262
860	0.4411650112
861	0.441074932
862	0.4409952567
863	0.4409461228
864	0.4408690829
865	0.4408214275
866	0.440788622
867	0.4407759385
868	0.4406807528
869	0.4406260823
870	0.4405654367
871	0.440482411
872	0.4404168639
873	0.4403682118
874	0.4402985796
875	0.4402199618
876	0.4401342567
877	0.4400872558
878	0.4400028838
879	0.4399269103
880	0.4398791222
881	0.4398225482
882	0.4397727149
883	0.4397196115
884	0.4396491091
885	0.4395592668
886	0.4394835174
887	0.4393682201
888	0.4392799593
889	0.4392235114
890	0.4391053923
891	0.4390177172
892	0.4389548778
893	0.4388799421
894	0.4388157979
895	0.4387618133
896	0.4387196676
897	0.4386596906
898	0.4385894411
899	0.4385371978
900	0.4384878832
901	0.4384112648
902	0.4383345743
903	0.4382785537
904	0.4382222139
905	0.4381605422
906	0.4380900826
907	0.4380397509
908	0.4379405632
909	0.437899362
910	0.4378296618
911	0.4377549323
912	0.4377030747
913	0.4376488191
914	0.437576358
915	0.4374450248
916	0.4373817623
917	0.4373252225
918	0.4372679295
919	0.4372049769
920	0.4371575874
921	0.4371014215
922	0.4370314682
923	0.4369627544
924	0.4369171902
925	0.4368390978
926	0.4367698922
927	0.4367213621
928	0.436617316
929	0.4365407331
930	0.4364854603
931	0.4364242495
932	0.436363163
933	0.4362969596
934	0.4362373818
935	0.4361996662
936	0.4361443471
937	0.4360823435
938	0.4360064111
939	0.4359499672
940	0.4358818357
941	0.4358373888
942	0.435772634
943	0.4357063204
944	0.4356710691
945	0.4356234854
946	0.4355225664
947	0.4354601118
948	0.4353860624
949	0.4353239191
950	0.4352273367
951	0.435168282
952	0.4351027544
953	0.4350568127
954	0.4349898271
955	0.43497847
956	0.4349154101
957	0.4348155965
958	0.4347589091
959	0.4347267511
960	0.4346662384
961	0.4345981672
962	0.4345482445
963	0.4344762951
964	0.4343975573
965	0.4343444087
966	0.434207312
967	0.43414834
968	0.4340867603
969	0.4340416723
970	0.4339152253
971	0.4338628139
972	0.4337723859
973	0.4337267844
974	0.4336658987
975	0.4336175573
976	0.4335681497
977	0.4335187057
978	0.4334769218
979	0.4333986507
980	0.4333157252
981	0.4332531105
982	0.4331557458
983	0.4330722193
984	0.4330121104
985	0.4329254478
986	0.4328448671
987	0.4327780991
988	0.4327401195
989	0.4326877725
990	0.4326116635
991	0.4325723538
992	0.4325258843
993	0.4324255238
994	0.4323484991
995	0.4322713667
996	0.4322096646
997	0.4321337355
998	0.4320806787
999	0.4320232048
